Serial Number: 1642-0005
Battery Status: 90.9 %
Description: 39-78
Product Code: EI-HS-D-32-L
Index	Elapsed  Time	Date	Time	Air Temp ( XC)	Humidity (%RH)
1	 00:00:00	2024/2/6	 U   02:11:00	24.1	62.0
2	 00:00:06	2024/2/6	 U   02:11:06	24.3	58.8
3	 00:00:12	2024/2/6	 U   02:11:12	24.3	58.2
4	 00:00:18	2024/2/6	 U   02:11:18	24.1	57.9
5	 00:00:24	2024/2/6	 U   02:11:24	24.1	57.9
6	 00:00:30	2024/2/6	 U   02:11:30	23.9	58.0
7	 00:00:36	2024/2/6	 U   02:11:36	23.9	58.0
8	 00:00:42	2024/2/6	 U   02:11:42	23.8	57.9
9	 00:00:48	2024/2/6	 U   02:11:48	23.8	57.9
10	 00:00:54	2024/2/6	 U   02:11:54	23.8	58.1
11	 00:01:00	2024/2/6	 U   02:12:00	23.8	58.3
12	 00:01:06	2024/2/6	 U   02:12:06	23.8	58.5
13	 00:01:12	2024/2/6	 U   02:12:12	23.8	58.3
14	 00:01:18	2024/2/6	 U   02:12:18	23.8	58.2
15	 00:01:24	2024/2/6	 U   02:12:24	23.8	58.6
16	 00:01:30	2024/2/6	 U   02:12:30	23.8	59.0
17	 00:01:36	2024/2/6	 U   02:12:36	23.8	59.9
18	 00:01:42	2024/2/6	 U   02:12:42	23.8	61.0
19	 00:01:48	2024/2/6	 U   02:12:48	23.8	62.0
20	 00:01:54	2024/2/6	 U   02:12:54	23.8	59.6
21	 00:02:00	2024/2/6	 U   02:13:00	23.8	59.5
22	 00:02:06	2024/2/6	 U   02:13:06	23.8	59.3
23	 00:02:12	2024/2/6	 U   02:13:12	23.8	58.7
24	 00:02:18	2024/2/6	 U   02:13:18	23.8	58.2
25	 00:02:24	2024/2/6	 U   02:13:24	23.8	58.2
26	 00:02:30	2024/2/6	 U   02:13:30	23.8	58.2
27	 00:02:36	2024/2/6	 U   02:13:36	23.7	58.2
28	 00:02:42	2024/2/6	 U   02:13:42	23.7	58.2
29	 00:02:48	2024/2/6	 U   02:13:48	23.7	58.4
30	 00:02:54	2024/2/6	 U   02:13:54	23.7	58.4
31	 00:03:00	2024/2/6	 U   02:14:00	23.7	58.4
32	 00:03:06	2024/2/6	 U   02:14:06	23.7	58.3
33	 00:03:12	2024/2/6	 U   02:14:12	23.7	58.6
34	 00:03:18	2024/2/6	 U   02:14:18	23.7	58.6
35	 00:03:24	2024/2/6	 U   02:14:24	23.7	58.4
36	 00:03:30	2024/2/6	 U   02:14:30	23.7	58.6
37	 00:03:36	2024/2/6	 U   02:14:36	23.7	58.6
38	 00:03:42	2024/2/6	 U   02:14:42	23.7	58.5
39	 00:03:48	2024/2/6	 U   02:14:48	23.7	58.4
40	 00:03:54	2024/2/6	 U   02:14:54	23.7	58.4
41	 00:04:00	2024/2/6	 U   02:15:00	23.7	58.2
42	 00:04:06	2024/2/6	 U   02:15:06	23.7	58.1
43	 00:04:12	2024/2/6	 U   02:15:12	23.7	58.3
44	 00:04:18	2024/2/6	 U   02:15:18	23.6	58.3
45	 00:04:24	2024/2/6	 U   02:15:24	23.6	58.3
46	 00:04:30	2024/2/6	 U   02:15:30	23.6	58.5
47	 00:04:36	2024/2/6	 U   02:15:36	23.6	58.6
48	 00:04:42	2024/2/6	 U   02:15:42	23.6	58.6
49	 00:04:48	2024/2/6	 U   02:15:48	23.6	58.5
50	 00:04:54	2024/2/6	 U   02:15:54	23.6	58.4
51	 00:05:00	2024/2/6	 U   02:16:00	23.6	58.5
52	 00:05:06	2024/2/6	 U   02:16:06	23.6	58.7
53	 00:05:12	2024/2/6	 U   02:16:12	23.6	58.8
54	 00:05:18	2024/2/6	 U   02:16:18	23.6	60.6
55	 00:05:24	2024/2/6	 U   02:16:24	23.6	59.4
56	 00:05:30	2024/2/6	 U   02:16:30	23.6	59.1
57	 00:05:36	2024/2/6	 U   02:16:36	23.6	58.8
58	 00:05:42	2024/2/6	 U   02:16:42	23.6	58.7
59	 00:05:48	2024/2/6	 U   02:16:48	23.6	58.6
60	 00:05:54	2024/2/6	 U   02:16:54	23.6	59.3
61	 00:06:00	2024/2/6	 U   02:17:00	23.6	58.9
62	 00:06:06	2024/2/6	 U   02:17:06	23.7	60.2
63	 00:06:12	2024/2/6	 U   02:17:12	23.7	61.3
64	 00:06:18	2024/2/6	 U   02:17:18	23.8	63.8
65	 00:06:24	2024/2/6	 U   02:17:24	23.8	61.4
66	 00:06:30	2024/2/6	 U   02:17:30	23.8	61.8
67	 00:06:36	2024/2/6	 U   02:17:36	23.8	59.8
68	 00:06:42	2024/2/6	 U   02:17:42	23.7	59.5
69	 00:06:48	2024/2/6	 U   02:17:48	23.7	59.0
70	 00:06:54	2024/2/6	 U   02:17:54	23.7	58.9
71	 00:07:00	2024/2/6	 U   02:18:00	23.7	58.7
72	 00:07:06	2024/2/6	 U   02:18:06	23.7	59.1
73	 00:07:12	2024/2/6	 U   02:18:12	23.7	59.0
74	 00:07:18	2024/2/6	 U   02:18:18	23.7	58.8
75	 00:07:24	2024/2/6	 U   02:18:24	23.6	58.7
76	 00:07:30	2024/2/6	 U   02:18:30	23.6	60.5
77	 00:07:36	2024/2/6	 U   02:18:36	23.6	59.8
78	 00:07:42	2024/2/6	 U   02:18:42	23.6	60.7
79	 00:07:48	2024/2/6	 U   02:18:48	23.6	60.5
80	 00:07:54	2024/2/6	 U   02:18:54	23.6	60.8
81	 00:08:00	2024/2/6	 U   02:19:00	23.7	61.1
82	 00:08:06	2024/2/6	 U   02:19:06	23.6	59.4
83	 00:08:12	2024/2/6	 U   02:19:12	23.6	58.9
84	 00:08:18	2024/2/6	 U   02:19:18	23.6	58.8
85	 00:08:24	2024/2/6	 U   02:19:24	23.6	58.7
86	 00:08:30	2024/2/6	 U   02:19:30	23.6	58.5
87	 00:08:36	2024/2/6	 U   02:19:36	23.6	59.0
88	 00:08:42	2024/2/6	 U   02:19:42	23.6	60.0
89	 00:08:48	2024/2/6	 U   02:19:48	23.7	59.5
90	 00:08:54	2024/2/6	 U   02:19:54	23.7	60.6
91	 00:09:00	2024/2/6	 U   02:20:00	23.8	62.0
92	 00:09:06	2024/2/6	 U   02:20:06	23.8	61.8
93	 00:09:12	2024/2/6	 U   02:20:12	23.8	61.3
94	 00:09:18	2024/2/6	 U   02:20:18	23.8	61.0
95	 00:09:24	2024/2/6	 U   02:20:24	23.9	63.6
96	 00:09:30	2024/2/6	 U   02:20:30	23.8	60.7
97	 00:09:36	2024/2/6	 U   02:20:36	23.8	61.4
98	 00:09:42	2024/2/6	 U   02:20:42	23.8	59.6
99	 00:09:48	2024/2/6	 U   02:20:48	23.8	58.5
100	 00:09:54	2024/2/6	 U   02:20:54	23.8	58.1
101	 00:10:00	2024/2/6	 U   02:21:00	23.8	57.8
102	 00:10:06	2024/2/6	 U   02:21:06	23.8	57.7
103	 00:10:12	2024/2/6	 U   02:21:12	23.8	57.7
104	 00:10:18	2024/2/6	 U   02:21:18	23.8	58.2
105	 00:10:24	2024/2/6	 U   02:21:24	23.8	57.7
106	 00:10:30	2024/2/6	 U   02:21:30	23.8	57.8
107	 00:10:36	2024/2/6	 U   02:21:36	23.8	57.6
108	 00:10:42	2024/2/6	 U   02:21:42	23.8	57.5
109	 00:10:48	2024/2/6	 U   02:21:48	23.8	57.5
110	 00:10:54	2024/2/6	 U   02:21:54	23.7	57.6
111	 00:11:00	2024/2/6	 U   02:22:00	23.6	57.7
112	 00:11:06	2024/2/6	 U   02:22:06	23.7	57.7
113	 00:11:12	2024/2/6	 U   02:22:12	23.6	57.8
114	 00:11:18	2024/2/6	 U   02:22:18	23.6	57.6
115	 00:11:24	2024/2/6	 U   02:22:24	23.6	57.6
116	 00:11:30	2024/2/6	 U   02:22:30	23.6	57.6
117	 00:11:36	2024/2/6	 U   02:22:36	23.5	57.5
118	 00:11:42	2024/2/6	 U   02:22:42	23.5	57.4
119	 00:11:48	2024/2/6	 U   02:22:48	23.4	57.5
120	 00:11:54	2024/2/6	 U   02:22:54	23.4	57.6
121	 00:12:00	2024/2/6	 U   02:23:00	23.4	57.7
122	 00:12:06	2024/2/6	 U   02:23:06	23.4	57.6
123	 00:12:12	2024/2/6	 U   02:23:12	23.4	57.6
124	 00:12:18	2024/2/6	 U   02:23:18	23.4	57.6
125	 00:12:24	2024/2/6	 U   02:23:24	23.4	57.6
126	 00:12:30	2024/2/6	 U   02:23:30	23.4	57.6
127	 00:12:36	2024/2/6	 U   02:23:36	23.3	57.7
128	 00:12:42	2024/2/6	 U   02:23:42	23.3	57.8
129	 00:12:48	2024/2/6	 U   02:23:48	23.3	57.8
130	 00:12:54	2024/2/6	 U   02:23:54	23.3	57.8
131	 00:13:00	2024/2/6	 U   02:24:00	23.3	57.9
132	 00:13:06	2024/2/6	 U   02:24:06	23.3	57.8
133	 00:13:12	2024/2/6	 U   02:24:12	23.3	57.8
134	 00:13:18	2024/2/6	 U   02:24:18	23.2	57.8
135	 00:13:24	2024/2/6	 U   02:24:24	23.2	57.8
136	 00:13:30	2024/2/6	 U   02:24:30	23.2	57.8
137	 00:13:36	2024/2/6	 U   02:24:36	23.2	57.8
138	 00:13:42	2024/2/6	 U   02:24:42	23.2	57.8
139	 00:13:48	2024/2/6	 U   02:24:48	23.2	57.8
140	 00:13:54	2024/2/6	 U   02:24:54	23.2	57.8
141	 00:14:00	2024/2/6	 U   02:25:00	23.2	57.7
142	 00:14:06	2024/2/6	 U   02:25:06	23.2	57.7
143	 00:14:12	2024/2/6	 U   02:25:12	23.2	57.8
144	 00:14:18	2024/2/6	 U   02:25:18	23.2	57.8
145	 00:14:24	2024/2/6	 U   02:25:24	23.2	58.0
146	 00:14:30	2024/2/6	 U   02:25:30	23.2	58.0
147	 00:14:36	2024/2/6	 U   02:25:36	23.2	58.1
148	 00:14:42	2024/2/6	 U   02:25:42	23.2	58.2
149	 00:14:48	2024/2/6	 U   02:25:48	23.2	58.1
150	 00:14:54	2024/2/6	 U   02:25:54	23.2	58.0
151	 00:15:00	2024/2/6	 U   02:26:00	23.2	58.0
152	 00:15:06	2024/2/6	 U   02:26:06	23.2	58.1
153	 00:15:12	2024/2/6	 U   02:26:12	23.2	58.2
